score,fold1,fold2,fold3,vars
0.599464137833694,0.576,0.591,0.632,dxy+spread_10y_t1+delta_us10y_t1+delta_dxy_t1+crisis_dummy
0.599320557007263,0.581,0.567,0.65,kr_treasury_3y+us_treasury_10y+delta_us10y_t1+delta_dxy_t1+crisis_dummy
0.5992492540168338,0.551,0.578,0.669,kr_base_rate+sp500+spread_10y_t1+delta_us10y_t1+delta_dxy_t1
0.5991130715719781,0.559,0.591,0.647,sp500+delta_us10y_t1+delta_vix_t1+delta_dxy_t1+crisis_dummy
0.5990950021129778,0.568,0.582,0.647,us_fed_funds+dxy+delta_us10y_t1+delta_dxy_t1+crisis_dummy
0.5990748611071363,0.555,0.603,0.639,kr_base_rate+us_fed_funds+us_breakeven_10y+spread_10y_t1+delta_us10y_t1
0.5988805534950338,0.572,0.571,0.653,us_fed_funds+dxy+delta_us10y_t1+delta_vix_t1+crisis_dummy
0.5988638940805219,0.547,0.61,0.64,kr_treasury_3y+us_breakeven_10y+spread_10y_t1+delta_us10y_t1+delta_vix_t1
0.5988423430301919,0.568,0.584,0.645,kr_treasury_3y+kr_base_rate+vix+delta_us10y_t1+delta_vix_t1
0.5988207919798619,0.589,0.559,0.649,kr_treasury_3y+us_fed_funds+vix+delta_us10y_t1+delta_vix_t1
0.5987679936473492,0.581,0.58,0.636,kr_treasury_3y+us_breakeven_10y+vix+spread_10y_t1+delta_us10y_t1
0.5987645120560195,0.593,0.563,0.64,kr_base_rate+us_fed_funds+sp500+dxy+delta_us10y_t1
0.5987589589178489,0.585,0.576,0.636,us_fed_funds+sp500+delta_us10y_t1+delta_vix_t1+delta_dxy_t1
0.5987207484530072,0.581,0.588,0.627,us_fed_funds+sp500+dxy+delta_us10y_t1+crisis_dummy
0.5986244128209184,0.585,0.557,0.655,us_fed_funds+us_breakeven_10y+spread_10y_t1+delta_us10y_t1+delta_vix_t1
0.5985952370855766,0.576,0.574,0.646,kr_treasury_3y+kr_base_rate+delta_us10y_t1+delta_vix_t1+delta_dxy_t1
0.5985827207647468,0.593,0.552,0.65,kr_base_rate+us_fed_funds+spread_10y_t1+delta_us10y_t1+delta_dxy_t1
0.5985389571617343,0.581,0.578,0.637,kr_base_rate+us_breakeven_10y+dxy+spread_10y_t1+delta_us10y_t1
0.5985299224322341,0.585,0.574,0.637,us_fed_funds+us_breakeven_10y+vix+delta_us10y_t1+delta_vix_t1
0.5984169273856333,0.564,0.58,0.652,kr_treasury_3y+vix+delta_us10y_t1+delta_dxy_t1+crisis_dummy
0.5983842700589621,0.568,0.58,0.647,kr_treasury_3y+us_fed_funds+vix+delta_us10y_t1+delta_dxy_t1
0.59833702486462,0.568,0.588,0.639,sp500+spread_10y_t1+delta_us10y_t1+delta_vix_t1+delta_dxy_t1
0.5982737817581186,0.597,0.559,0.639,us_fed_funds+sp500+delta_us10y_t1+delta_dxy_t1+crisis_dummy
0.5982571223436067,0.572,0.597,0.626,kr_base_rate+us_fed_funds+us_breakeven_10y+delta_us10y_t1+crisis_dummy
0.5981918076902643,0.581,0.597,0.617,kr_treasury_3y+us_fed_funds+spread_10y_t1+delta_us10y_t1+delta_vix_t1
